Timestamp,Bạn đang là sinh viên năm...,Trường Đại học của bạn là:,Bạn dành bao nhiêu thời gian trong ngày để tự học/làm việc?,"Theo bạn, bạn sẽ đánh giá khối lượng công việc/học tập của bản thân mình như thế nào?",Bạn thường giải quyết các công việc/ học tập của mình thế nào?,Bạn có hay đánh giá về mức độ quan trọng/ cần thiết/ nguy cấp của các công việc (tasks) đang thực hiện không?,Đánh giá khả năng tự sắp xếp công việc của bản thân trên thang điểm từ 1-10:,Bạn có hay dùng các app nhắc nhở/thông báo để hỗ trợ trong công việc không?,Bạn có thường xuyên lập To-Do List (Danh sách công việc cần làm) không?,Kết quả làm việc của bạn thường đáp ứng được bao nhiêu % so với mục tiêu ban đầu?
2/22/2021 19:55:38,1,,4-5 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Không thường xuyên,7,Thỉnh thoảng,3,4
2/22/2021 19:56:48,3,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,Mình thường bắt đầu vào gần deadline,Thường xuyên,6,Không bao giờ,3,4
2/22/2021 19:59:50,1,,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Không thường xuyên,8,Thỉnh thoảng,3,4
2/22/2021 20:00:48,3,,4-5 tiếng,Khối lượng công việc/học tập quá ít với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Thường xuyên,7,Thỉnh thoảng,4,3
2/22/2021 20:01:32,3,,4-5 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Luôn luôn,7,Thỉnh thoảng,3,3
2/22/2021 20:03:21,4,,Nhiều hơn,Khối lượng công việc/học tập của mình quá lớn,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Thường xuyên,7,Thỉnh thoảng,2,4
2/22/2021 20:05:01,1,,2-3 tiếng,Khối lượng công việc/học tập của mình quá lớn,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Thường xuyên,9,Không bao giờ,1,4
2/22/2021 20:06:12,1,,4-5 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Thường xuyên,7,Thỉnh thoảng,3,4
2/22/2021 20:07:32,1,,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Không thường xuyên,6,Thỉnh thoảng,4,3
2/22/2021 20:07:35,1,,3-4 tiếng,Khối lượng công việc/học tập quá ít với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Luôn luôn,8,Thỉnh thoảng,1,4
2/22/2021 20:07:49,1,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, duy trì tần suất làm việc đều đặn",Không đánh giá,10,Không bao giờ,1,5
2/22/2021 20:08:01,1,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Tuỳ hứng thú với môn/việc đó, nếu thích sẽ làm ngay và đều đặn, ko thích sẽ trì trệ hơn và ko đều đặn ạ",Luôn luôn,7,Không bao giờ,2,4
2/22/2021 20:10:24,1,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,Mình thường bắt đầu vào gần deadline,Thường xuyên,8,Thỉnh thoảng,4,4
2/22/2021 20:10:57,3,,3-4 tiếng,Khối lượng công việc/học tập của mình quá lớn,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Thường xuyên,7,Thỉnh thoảng,3,4
2/22/2021 20:11:21,1,,Nhiều hơn,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Thường xuyên,5,Thỉnh thoảng,2,4
2/22/2021 20:12:16,4,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,Mình thường bắt đầu vào gần deadline,Thường xuyên,6,Thỉnh thoảng,2,4
2/22/2021 20:12:19,1,,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Thường xuyên,7,Không bao giờ,4,4
2/22/2021 20:12:37,1,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Không thường xuyên,5,Thỉnh thoảng,1,4
2/22/2021 20:13:02,1,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Thường xuyên,7,Thỉnh thoảng,4,3
2/22/2021 20:13:12,1,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Không thường xuyên,5,Thỉnh thoảng,2,4
2/22/2021 20:14:03,1,,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,"Mình sẽ bắt tay vào làm ngay, nhưng không duy trì tuần suất đều đặn",Thường xuyên,7,Không bao giờ,4,4
2/22/2021 20:14:50,1,,2-3 tiếng,Khối lượng công việc/học tập vừa sức với mình,Mình thường bắt đầu vào gần deadline,Không đánh giá,4,Không bao giờ,2,4
2/22/2021 20:15:52,1,,3-4 tiếng,Khối lượng công việc/học tập vừa sức với mình,Mình thường bắt đầu vào gần deadline,Luôn luôn,10,Không bao giờ,2,4
